t,x,x_n,v_x,v_xn,a_x,a_xn,y,y_n,v_y,v_yn,a_y,a_yn
1.69,101.4,93.1936,60,57.7002,0,-8.91279,70.5879,74.0926,33.438,29.2978,-9.8,-10.1139
1.7,102,103.932,60,64.3184,0,-3.07565,70.9223,67.2215,33.34,33.9712,-9.8,-13.064
1.71,102.6,98.8023,60,64.1971,0,-5.60935,71.2557,72.2694,33.242,39.7966,-9.8,-11.7275
1.72,103.2,114.052,60,54.3518,0,3.416,71.5881,69.9475,33.144,39.4609,-9.8,-13.6438
1.73,103.8,106.509,60,63.8477,0,6.00305,71.9196,69.9156,33.046,35.2551,-9.8,-13.8698
1.74,104.4,103.59,60,62.9585,0,-10.6664,72.25,72.7588,32.948,33.8628,-9.8,-14.8704
1.75,105,102.37,60,59.0097,0,-3.64936,72.5795,70.9242,32.85,30.4864,-9.8,-11.2607
1.76,105.6,115.996,60,59.2361,0,-9.99957,72.908,76.9626,32.752,39.0448,-9.8,-12.0877
1.77,106.2,115.018,60,61.9317,0,8.21767,73.2355,71.4199,32.654,22.365,-9.8,-5.01059
1.78,106.8,110.379,60,55.0893,0,4.26254,73.5621,66.5829,32.556,28.7027,-9.8,-3.1566
1.79,107.4,108.636,60,51.8543,0,2.89947,73.8876,68.0879,32.458,40.2906,-9.8,-8.70518
1.8,108,95.8297,60,57.8511,0,3.86845,74.2122,73.8449,32.36,36.1008,-9.8,-4.55579
1.81,108.6,111.672,60,48.0106,0,1.37366,74.5358,74.6291,32.262,29.8668,-9.8,-1.21956
1.82,109.2,117.013,60,51.0295,0,-3.73722,74.8584,84.9357,32.164,22.2926,-9.8,-3.80178
1.83,109.8,113.015,60,63.4213,0,-2.67731,75.1801,75.4087,32.066,22.8381,-9.8,-13.606
1.84,110.4,108.802,60,59.7124,0,0.437299,75.5007,78.6074,31.968,34.7825,-9.8,-11.6489
1.85,111,118.796,60,56.4133,0,4.80901,75.8204,82.4468,31.87,18.3589,-9.8,-7.47564
1.86,111.6,111.089,60,45.5112,0,-2.48822,76.1391,74.8884,31.772,40.0391,-9.8,-10.6604
1.87,112.2,114.032,60,61.5479,0,0.705739,76.4568,87.8613,31.674,42.9474,-9.8,-4.58082
1.88,112.8,102.533,60,62.4171,0,-2.334,76.7736,74.8914,31.576,33.2635,-9.8,-7.71337
1.89,113.4,123.854,60,54.7093,0,11.1268,77.0893,84.5697,31.478,31.546,-9.8,-8.75806
1.9,114,110.538,60,50.8291,0,2.33035,77.4041,77.4979,31.38,35.1632,-9.8,-2.37166
1.91,114.6,115.715,60,59.9408,0,17.0526,77.7179,78.6519,31.282,29.028,-9.8,-21.8363
1.92,115.2,120.068,60,70.2896,0,5.74515,78.0307,69.7578,31.184,30.7987,-9.8,-17.313
1.93,115.8,121.467,60,56.2481,0,-11.016,78.3426,76.8256,31.086,26.7246,-9.8,-11.8847
1.94,116.4,109.118,60,62.1226,0,-0.407695,78.6534,68.0174,30.988,40.2091,-9.8,-7.97116
1.95,117,120.317,60,66.8216,0,0.708172,78.9633,74.3525,30.89,35.1729,-9.8,-5.12901
1.96,117.6,116.853,60,52.6546,0,-4.72021,79.2722,83.8229,30.792,34.8948,-9.8,-18.2384
1.97,118.2,118.546,60,63.25,0,5.00844,79.5801,82.8281,30.694,27.3435,-9.8,-5.41521
1.98,118.8,115.811,60,50.3523,0,5.36906,79.8871,83.2105,30.596,33.0457,-9.8,-11.1307
1.99,119.4,118.577,60,60.1855,0,5.51777,80.193,82.5891,30.498,22.9134,-9.8,-16.3769
2,120,128.536,60,60.189,0,0.00938383,80.498,63.9861,30.4,33.7468,-9.8,-15.1311
2.01,120.6,112.092,60,59.5935,0,5.22193,80.802,82.703,30.302,23.3442,-9.8,-2.44841
2.02,121.2,116.282,60,54.6071,0,3.0225,81.105,79.7612,30.204,32.8807,-9.8,-8.23822
2.03,121.8,118.55,60,61.6452,0,6.97809,81.4071,84.3446,30.106,31.4432,-9.8,-4.05533
2.04,122.4,119.613,60,63.2161,0,2.34082,81.7081,79.0123,30.008,30.6867,-9.8,-11.9783
2.05,123,131.892,60,55.095,0,-0.284538,82.0082,85.396,29.91,29.1991,-9.8,-3.66942
2.06,123.6,125.713,60,67.4831,0,-5.28738,82.3073,82.0796,29.812,23.995,-9.8,-14.2875
2.07,124.2,121.29,60,60.0721,0,4.54793,82.6054,78.2741,29.714,19.6824,-9.8,-7.91045
2.08,124.8,124.473,60,62.3634,0,0.816989,82.9026,78.7023,29.616,24.5256,-9.8,-2.12158
2.09,125.4,133.101,60,52.8803,0,3.03273,83.1987,78.1906,29.518,27.4967,-9.8,-8.03155
2.1,126,129.662,60,54.5259,0,-1.21013,83.4939,81.3565,29.42,36.1128,-9.8,-3.53515
2.11,126.6,126.386,60,61.436,0,-1.20064,83.7881,85.1502,29.322,31.0332,-9.8,-10.426
2.12,127.2,126.38,60,65.0301,0,-2.0926,84.0813,87.3423,29.224,21.4983,-9.8,-12.4188
2.13,127.8,128.724,60,62.3948,0,10.9903,84.3736,83.6019,29.126,29.608,-9.8,-12.5464
2.14,128.4,130.853,60,61.1659,0,-2.31045,84.6648,87.0751,29.028,27.7589,-9.8,-18.9018
2.15,129,134.117,60,62.317,0,-2.49689,84.9551,86.9838,28.93,27.9166,-9.8,-14.2558
2.16,129.6,131.444,60,58.8817,0,-1.49455,85.2444,83.7766,28.832,31.3788,-9.8,-4.90097
2.17,130.2,126.891,60,58.4907,0,-1.00033,85.5327,87.8843,28.734,27.5351,-9.8,-8.00941
2.18,130.8,132.464,60,54.2053,0,2.06867,85.8201,85.6267,28.636,27.1507,-9.8,-9.96157
2.19,131.4,133.752,60,63.3559,0,11.5657,86.1064,86.7764,28.538,25.35,-9.8,-13.3595
2.2,132,131.227,60,64.3637,0,-2.4693,86.3918,86.5483,28.44,22.5176,-9.8,-13.0619
2.21,132.6,122.689,60,49.1807,0,-7.75573,86.6762,84.7425,28.342,30.1411,-9.8,-4.29611
2.22,133.2,141.878,60,67.4752,0,-7.55551,86.9596,91.239,28.244,27.679,-9.8,-15.2731
2.23,133.8,134.81,60,63.0823,0,-2.1831,87.2421,84.0159,28.146,25.2317,-9.8,-8.4682
2.24,134.4,130.009,60,56.4505,0,-1.80829,87.5235,97.4401,28.048,33.0999,-9.8,-5.1282
2.25,135,131.085,60,58.3736,0,2.07852,87.804,96.5653,27.95,27.5206,-9.8,-8.61622
2.26,135.6,137.023,60,61.0887,0,2.6932,88.0835,89.7222,27.852,32.5027,-9.8,-5.43887
2.27,136.2,142.616,60,64.2394,0,4.73152,88.362,91.605,27.754,30.0508,-9.8,-5.33417
2.28,136.8,133.557,60,58.2319,0,1.21917,88.6396,94.4058,27.656,21.0536,-9.8,-8.66843
2.29,137.4,136.25,60,55.387,0,-3.18221,88.9161,96.4577,27.558,25.5665,-9.8,-10.8086
2.3,138,138.583,60,53.5932,0,-4.40626,89.1917,88.2735,27.46,22.5959,-9.8,-7.92487
2.31,138.6,138.467,60,68.1254,0,4.43635,89.4663,82.2323,27.362,25.512,-9.8,-19.224
2.32,139.2,135.628,60,57.8814,0,-3.91454,89.7399,86.5447,27.264,29.2974,-9.8,-2.54817
2.33,139.8,135.352,60,60.882,0,-1.664,90.0126,81.0439,27.166,15.3644,-9.8,-5.86724
